Position,Const,Created,Modified,Description,Name,Known For,Birth Date
279,nm0001130,2018-06-30,2018-06-30,3163 points,Ted Demme,Blow,1963-10-26
280,nm0594503,2018-06-27,2018-06-27,3113 points,Hayao Miyazaki,Sen to Chihiro no kamikakushi,1941-01-05
281,nm0001112,2018-06-24,2018-06-28,3111 points,Andrew Davis,The Fugitive,1946-11-21
282,nm0831557,2019-12-29,2019-12-29,3075 points,Nicholas Stoller,The Muppets,1976-03-19
283,nm0432627,2019-07-06,2019-07-06,3060 points,Gil Junger,10 Things I Hate About You,1954-11-07
284,nm0005190,2018-06-23,2018-07-08,3056 points,Garry Marshall,A League of Their Own,1934-11-13
285,nm0919369,2018-07-08,2018-07-08,3024 points,Paul Weitz,About a Boy,1965-11-19
286,nm0004306,2018-06-12,2018-06-18,3021 points,George Miller,Mad Max: Fury Road,1945-03-03
287,nm0518836,2018-07-14,2018-07-14,3018 points,Kenneth Lonergan,Manchester by the Sea,1962-10-16
288,nm0649117,2018-07-07,2018-07-07,3009 points,Niels Arden Oplev,Män som hatar kvinnor,1961-03-26
289,nm0103785,2021-06-19,2021-06-19,3001 points,Zach Braff,Garden State,1975-04-06
290,nm0000134,2018-07-04,2019-01-05,2988 points,Robert De Niro,Cape Fear,1943-08-17
291,nm0001175,2018-05-30,2018-05-31,2985 points,Blake Edwards,The Pink Panther Strikes Again,1922-07-26
292,nm0001348,2018-06-06,2020-10-08,2963 points,Werner Herzog,"Aguirre, der Zorn Gottes",1942-09-05
293,nm0220600,2018-07-06,2018-07-10,2962 points,Scott Derrickson,Doctor Strange,1966-07-16
294,nm0834902,2018-07-12,2018-07-12,2887 points,Robert Stromberg,Avatar,
295,nm0467646,2018-11-23,2018-11-23,2883 points,Ted Kotcheff,Weekend at Bernie's,1931-04-07
296,nm0200005,2018-07-07,2018-07-11,2878 points,Lee Daniels,Precious,1959-12-24
297,nm0853380,2018-07-01,2018-07-05,2853 points,Julie Taymor,Frida,1952-12-15
298,nm0082450,2018-07-09,2018-07-09,2839 points,Paul Feig,Freaks and Geeks,1962-09-17
299,nm1026778,2018-11-25,2018-11-25,2751 points,Brad Furman,The Lincoln Lawyer,
300,nm0000602,2018-06-13,2019-01-02,2748 points,Robert Redford,The Natural,1936-08-18
301,nm0001587,2018-06-10,2019-06-04,2743 points,Alan J. Pakula,Sophie's Choice,1928-04-07
302,nm0000816,2018-06-23,2018-07-06,2692 points,Jon Avnet,Fried Green Tomatoes,1949-11-17
303,nm0769874,2018-06-03,2018-06-07,2688 points,Franklin J. Schaffner,Planet of the Apes,1920-05-30
304,nm0536632,2018-06-30,2018-06-30,2687 points,Sharon Maguire,Bridget Jones's Baby,1960-11-28
305,nm1174251,2018-07-10,2018-07-13,2665 points,Daniel Espinosa,Snabba cash,1977-03-23
306,nm0777881,2018-07-08,2018-07-08,2650 points,Robert Schwentke,Der Hauptmann,
307,nm0000720,2020-08-19,2020-08-19,2641 points,Jim Abrahams,Airplane!,1944-05-10
308,nm0330687,2018-07-11,2018-07-11,2640 points,Joseph Gordon-Levitt,Inception,1981-02-17
309,nm0002728,2018-07-07,2018-07-07,2629 points,Juan José Campanella,El secreto de sus ojos,1959-07-19
310,nm0481418,2018-07-05,2018-07-05,2617 points,Richard LaGravenese,Freedom Writers,1959-10-30
311,nm0204628,2018-07-14,2018-07-14,2610 points,Garth Davis,Lion,1974-09-23
312,nm0281508,2018-07-11,2018-07-11,2598 points,Ruben Fleischer,Zombieland,1974-10-31
313,nm0001681,2018-06-02,2020-10-13,2585 points,George A. Romero,Land of the Dead,1940-02-04
314,nm0254178,2019-03-09,2019-03-09,2549 points,Adam Elliot,Mary and Max.,1972-01-02
315,nm0000934,2018-06-06,2018-07-02,2545 points,Bernardo Bertolucci,Ultimo tango a Parigi,1941-03-16
316,nm0919363,2018-07-01,2021-09-10,2535 points,Chris Weitz,About a Boy,1969-11-30
317,nm0812200,2018-06-30,2018-06-30,2506 points,Iain Softley,Backbeat,
318,nm0005303,2018-06-29,2018-07-11,2506 points,Kimberly Peirce,Boys Don't Cry,1967-09-08
319,nm0318150,2018-06-01,2018-06-12,2503 points,Lewis Gilbert,Alfie,1920-03-06
320,nm0001338,2019-04-28,2019-04-28,2492 points,Brian Helgeland,A Knight's Tale,1961-01-17
321,nm0000581,2018-05-26,2018-06-06,2466 points,Joseph L. Mankiewicz,All About Eve,1909-02-11
322,nm1167933,2018-07-12,2018-07-12,2464 points,Damián Szifron,Relatos salvajes,1975-07-09
323,nm0715346,2018-05-25,2018-05-25,2455 points,Carol Reed,The Third Man,1906-12-30
324,nm0001219,2018-06-28,2018-07-02,2424 points,Gary Fleder,Things to Do in Denver When You're Dead,1965-12-19
325,nm0229694,2018-07-12,2018-07-12,2408 points,David Dobkin,The Judge,1969-06-23
326,nm0708903,2018-07-09,2018-12-20,2393 points,Lynne Ramsay,We Need to Talk About Kevin,1969-12-05
327,nm0000076,2018-05-30,2018-06-01,2392 points,François Truffaut,La nuit américaine,1932-02-06
328,nm0459170,2018-06-12,2018-06-12,2368 points,Randal Kleiser,Grease,1946-07-20
329,nm0269463,2018-07-12,2018-07-12,2357 points,Jon Favreau,Chef,1966-10-19
330,nm0379179,2018-07-07,2018-07-07,2346 points,Mark Herman,The Boy in the Striped Pyjamas,
331,nm0154716,2021-04-08,2021-04-08,2327 points,Stephen Chbosky,The Perks of Being a Wallflower,1970-01-25
332,nm0304521,2018-06-30,2018-07-04,2284 points,Christophe Gans,Le pacte des loups,1960-03-11
333,nm1560977,2018-07-09,2021-04-26,2283 points,Cary Joji Fukunaga,Beasts of No Nation,1977-07-10
334,nm0345174,2018-12-18,2018-12-18,2283 points,Luca Guadagnino,Call Me by Your Name,1971-08-10
335,nm0770942,2018-07-05,2018-07-05,2277 points,Richard Schenkman,The Man from Earth,1958-03-06
336,nm0049371,2018-07-05,2018-07-05,2273 points,Jaume Balagueró,[Rec],1968-11-02
337,nm0687042,2018-07-05,2018-07-05,2273 points,Paco Plaza,[Rec],
338,nm2308774,2021-08-16,2021-10-31,2271 points,Destin Daniel Cretton,Short Term 12,1978-11-23
339,nm2155757,2020-02-09,2020-02-09,2257 points,Josh Cooley,Toy Story 4,
340,nm0254786,2018-07-02,2018-07-03,2244 points,David R. Ellis,The Matrix Reloaded,1952-09-08
341,nm0525659,2018-07-06,2018-07-06,2237 points,Robert Luketic,The Ugly Truth,1973-11-01
342,nm0005509,2018-06-24,2018-06-26,2215 points,Jon Turteltaub,Cool Runnings,1963-08-08
343,nm0065615,2018-07-02,2018-07-02,2214 points,Wolfgang Becker,Good Bye Lenin!,1954-06-22
344,nm0000127,2018-09-25,2018-09-25,2197 points,Wes Craven,A Nightmare on Elm Street,1939-08-02
345,nm2391575,2020-10-03,2021-07-03,2194 points,David Michôd,The King,
346,nm0792263,2018-08-24,2018-08-24,2192 points,Taylor Sheridan,Hell or High Water,
347,nm2125482,2021-09-13,2021-09-13,2177 points,Chloé Zhao,Nomadland,1982-03-31
348,nm0772259,2018-06-03,2018-06-10,2171 points,John Schlesinger,Midnight Cowboy,1926-02-16
349,nm0442241,2018-06-16,2020-08-31,2171 points,Philip Kaufman,The Right Stuff,1936-10-23
350,nm0001437,2018-06-24,2018-06-28,2138 points,Emir Kusturica,Underground,1954-11-24
351,nm0001120,2018-05-23,2018-05-23,2128 points,Vittorio De Sica,Ladri di biciclette,1901-07-07
352,nm0336695,2018-07-05,2021-06-24,2128 points,James Gray,Ad Astra,1969-04-14
353,nm0002191,2018-07-07,2018-07-10,2125 points,Jacques Audiard,De rouille et d'os,1952-04-30
354,nm0276062,2018-07-01,2018-07-04,2123 points,Todd Field,Little Children,1964-02-24
355,nm0848414,2018-06-30,2018-07-05,2118 points,Lee Tamahori,Once Were Warriors,1950-04-22
356,nm0815204,2018-07-11,2018-07-13,2116 points,Paolo Sorrentino,Youth,1970-05-31
357,nm0742341,2018-06-01,2018-06-01,2111 points,Stuart Rosenberg,Cool Hand Luke,1927-08-11
358,nm0003638,2018-05-17,2021-04-13,2106 points,F.W. Murnau,Sunrise: A Song of Two Humans,1888-12-28
359,nm0000797,2018-06-05,2018-06-12,2103 points,Hal Ashby,Harold and Maude,1929-09-02
360,nm0829038,2018-05-31,2018-05-31,2096 points,Robert Stevenson,Mary Poppins,1905-03-31
361,nm0835799,2018-07-08,2018-07-08,2073 points,Mel Stuart,Running on the Sun: The Badwater 135,1928-09-02
362,nm0262595,2021-04-25,2021-04-25,2068 points,Bruce A. Evans,Stand by Me,1946-09-19
363,nm0019242,2018-07-07,2018-07-07,2067 points,Daniel Alfredson,Flickan som lekte med elden,1959-05-23
364,nm0163706,2020-12-23,2020-12-23,2067 points,Bob Clark,A Christmas Story,1939-08-05
365,nm0451148,2018-07-05,2018-07-05,2062 points,Aamir Khan,Taare Zameen Par,1965-03-14
366,nm0019247,2018-07-06,2018-07-06,2058 points,Tomas Alfredson,Tinker Tailor Soldier Spy,1965-04-01
367,nm3211470,2021-01-19,2021-01-19,2044 points,Robert Eggers,The Lighthouse,1983-07-07
368,nm0002077,2021-01-01,2021-01-01,2038 points,Dexter Fletcher,Rocketman,1966-01-31
369,nm2782185,2018-07-10,2018-07-10,2028 points,Rupert Sanders,Snow White and the Huntsman,1971-03-16
370,nm0006854,2018-06-27,2018-06-27,2027 points,Roger Spottiswoode,48 Hrs.,1945-01-05
371,nm0006452,2018-05-30,2018-06-01,2022 points,Stanley Kramer,Judgment at Nuremberg,1913-09-29
372,nm0001675,2018-06-26,2018-06-26,2019 points,Robert Rodriguez,El mariachi,1968-06-20
373,nm0003593,2018-05-27,2018-05-27,2017 points,Fred Zinnemann,A Man for All Seasons,1907-04-29
374,nm0815070,2021-04-24,2021-04-24,1976 points,Aaron Sorkin,The West Wing,1961-06-09
375,nm0771054,2018-07-07,2018-07-07,1955 points,Lone Scherfig,An Education,1959-05-02
376,nm0567620,2018-07-12,2019-01-31,1955 points,John Michael McDonagh,The Guard,
377,nm0001353,2018-06-12,2018-06-14,1935 points,Walter Hill,48 Hrs.,1942-01-10
378,nm0781842,2018-07-06,2018-07-06,1910 points,Peter Segal,Get Smart,
379,nm1259871,2021-02-06,2021-02-06,1905 points,John Crowley,Boy A,1969-08-19
380,nm0141961,2021-06-29,2021-06-29,1901 points,Thomas Carter,Coach Carter,1953-07-17
381,nm0908824,2021-07-14,2021-07-14,1893 points,Randall Wallace,We Were Soldiers,1949-07-28
382,nm0231596,2018-07-05,2018-07-05,1892 points,Andrew Dominik,Chopper,1967-10-07
383,nm0002339,2018-07-08,2018-07-08,1891 points,Allen Coulter,Remember Me,
384,nm0179221,2018-07-06,2018-07-12,1889 points,Anton Corbijn,Control,1955-05-20
385,nm0158966,2018-07-08,2018-07-08,1889 points,Lisa Cholodenko,The Kids Are All Right,1964-06-05
386,nm0000824,2018-06-11,2018-06-16,1885 points,John Badham,WarGames,1939-08-25
387,nm0000694,2018-06-16,2019-01-27,1883 points,Wim Wenders,Der Himmel über Berlin,1945-08-14
388,nm0001093,2018-06-28,2018-06-28,1875 points,John Dahl,The Last Seduction,
389,nm0335138,2018-07-08,2018-07-08,1862 points,Debra Granik,Leave No Trace,1963-02-06
390,nm0111845,2018-07-06,2018-07-06,1854 points,Adam Brooks,"Definitely, Maybe",1956-09-03
391,nm0444244,2018-07-11,2018-07-11,1824 points,Abdellatif Kechiche,La vie d'Adèle,1960-12-07
392,nm0002030,2018-05-21,2018-05-31,1808 points,George Cukor,My Fair Lady,1899-07-07
393,nm0788234,2018-07-06,2018-07-06,1808 points,John Patrick Shanley,Moonstruck,1950-10-03
394,nm0001603,2018-06-03,2018-06-05,1807 points,Sam Peckinpah,The Wild Bunch,1925-02-21
395,nm1104118,2018-07-02,2018-07-03,1804 points,Kim Ki-duk,Bin-jip,1960-12-20
396,nm0000958,2018-06-06,2021-02-07,1802 points,John Boorman,Hope and Glory,1933-01-18
397,nm1140275,2018-07-11,2018-07-11,1798 points,Steven Knight,Locke,
398,nm0625458,2018-06-30,2018-06-30,1796 points,Jessie Nelson,I Am Sam,1955-06-02
399,nm0276349,2018-07-04,2018-07-04,1785 points,Shane Meadows,This Is England,1972-12-26
400,nm0001508,2018-06-23,2019-07-11,1778 points,Penny Marshall,Laverne & Shirley,1943-10-15
401,nm0193508,2018-07-09,2018-07-13,1777 points,Simon Curtis,Goodbye Christopher Robin,1960-03-11
402,nm0001401,2018-07-29,2018-07-29,1767 points,Angelina Jolie,"Girl, Interrupted",1975-06-04
403,nm0000914,2018-06-12,2018-06-12,1760 points,Robert Benton,Kramer vs. Kramer,1932-09-29
404,nm0490487,2018-07-01,2018-07-01,1740 points,Andrew Lau,Mou gaan dou,1960-04-04
405,nm0773603,2018-07-05,2018-07-05,1731 points,Julian Schnabel,At Eternity's Gate,1951-10-26
406,nm0920274,2018-07-08,2018-07-11,1708 points,John Wells,The Company Men,1956-05-28
407,nm0420941,2018-07-02,2018-07-02,1702 points,Patty Jenkins,Wonder Woman,1971-07-24
408,nm1290515,2021-05-25,2021-05-25,1674 points,Antonio Campos,Martha Marcy May Marlene,1983-08-24
409,nm0389591,2018-06-28,2020-05-24,1653 points,P.J. Hogan,Muriel's Wedding,1962-11-30
410,nm0000736,2018-05-31,2018-06-01,1648 points,Robert Aldrich,What Ever Happened to Baby Jane?,1918-08-09
411,nm0300866,2018-07-03,2018-07-03,1632 points,Stephen Gaghan,Syriana,1965-05-06
412,nm0193485,2018-07-07,2018-07-07,1614 points,Richard Curtis,Love Actually,1956-11-08
413,nm0959062,2018-06-30,2018-06-30,1603 points,Terry Zwigoff,Ghost World,1949-05-18
414,nm0187769,2018-06-20,2018-06-20,1598 points,Charles Crichton,A Fish Called Wanda,1910-08-06
415,nm0181902,2018-06-24,2018-06-24,1597 points,George P. Cosmatos,Rambo: First Blood Part II,1941-01-04
416,nm0167241,2018-05-27,2018-05-28,1594 points,Henri-Georges Clouzot,Le salaire de la peur,1907-11-20
417,nm0423646,2018-06-16,2021-01-01,1585 points,Roland Joffé,The Mission,1945-11-17
418,nm0291082,2021-09-20,2021-09-20,1573 points,Scott Frank,Logan,1960-03-10
419,nm0405632,2018-07-03,2020-12-02,1566 points,Mikael Håfström,Ondskan,1960-07-01
420,nm1725469,2021-08-30,2021-08-30,1553 points,Florian Zeller,The Father,1979-06-28
421,nm0935095,2018-07-03,2018-07-03,1545 points,Gary Winick,Tadpole,1961-03-31
422,nm0655683,2018-07-05,2018-07-05,1529 points,José Padilha,Tropa de Elite,1967-08-01
423,nm0001843,2018-05-18,2018-05-20,1496 points,James Whale,The Invisible Man,1889-07-22
424,nm0001214,2018-06-26,2018-06-26,1493 points,Mike Figgis,Leaving Las Vegas,1948-02-28
425,nm0001915,2018-11-14,2018-11-14,1492 points,Emile Ardolino,Dirty Dancing,1943-05-09
426,nm0438090,2018-07-09,2018-07-13,1491 points,Asif Kapadia,Senna,
427,nm0000036,2018-05-17,2021-04-16,1489 points,Buster Keaton,The General,1895-10-04
428,nm0792202,2018-07-05,2018-07-05,1489 points,Kirsten Sheridan,In America,1976-07-14
429,nm0322144,2018-07-12,2018-07-12,1483 points,Richard Glatzer,Still Alice,1952-01-28
430,nm0863387,2018-06-30,2018-06-30,1482 points,George Tillman Jr.,The Hate U Give,1969-01-26
431,nm0802248,2018-07-04,2018-07-04,1465 points,Tarsem Singh,The Fall,1961-05-26
432,nm0003088,2018-06-26,2018-06-26,1436 points,Chris Noonan,Babe,1952-11-14
433,nm0000776,2018-06-29,2018-06-29,1425 points,Michael Apted,Rome,1941-02-10
434,nm0758574,2018-07-03,2018-07-03,1413 points,Walter Salles,Central do Brasil,1956-04-12
435,nm0001408,2019-04-10,2019-04-10,1408 points,Shekhar Kapur,Elizabeth,1945-12-06
436,nm0528718,2019-04-04,2019-04-04,1397 points,Jonathan Lynn,Clue,1943-04-03
437,nm0795290,2018-07-14,2018-07-14,1390 points,Michael Showalter,Wet Hot American Summer,1970-06-17
438,nm0600546,2018-06-28,2018-07-01,1372 points,Lukas Moodysson,Fucking Åmål,1969-01-17
439,nm0424103,2018-07-09,2018-07-09,1370 points,Karan Johar,Kuch Kuch Hota Hai,1972-05-25
440,nm0412465,2018-06-16,2018-06-24,1364 points,James Ivory,Call Me by Your Name,1928-06-07
441,nm0695937,2018-05-22,2018-05-30,1361 points,Otto Preminger,Anatomy of a Murder,1905-12-05
442,nm0304541,2018-07-07,2018-07-07,1332 points,Dennis Gansel,Die Welle,1973-10-04
443,nm0671957,2018-06-01,2018-06-01,1330 points,Arthur Penn,Bonnie and Clyde,1922-09-27
444,nm0788940,2018-06-10,2018-06-10,1327 points,Jim Sharman,The Rocky Horror Picture Show,1945-03-12
445,nm1041597,2018-07-03,2018-07-03,1318 points,Morgan Spurlock,Super Size Me,1970-11-07
446,nm0192845,2018-07-04,2018-07-04,1295 points,John Curran,Chappaquiddick,1960-09-11
447,nm0001452,2018-05-28,2018-05-28,1289 points,Charles Laughton,Witness for the Prosecution,1899-07-01
448,nm2482088,2020-03-02,2020-03-02,1287 points,Tommy Wirkola,Død snø 2,1979-12-06
449,nm0516360,2018-07-04,2018-07-14,1284 points,Ken Loach,"I, Daniel Blake",1936-06-17
450,nm0082802,2018-07-05,2018-07-05,1282 points,Mike Binder,Creating 'The Upside of Anger',
451,nm0004303,2018-07-06,2021-05-01,1273 points,Gavin Hood,Official Secrets,1963-05-12
452,nm0001226,2018-06-24,2018-06-24,1264 points,James Foley,At Close Range,1953-12-28
453,nm0357453,2018-07-03,2018-07-03,1252 points,John Hamburg,Little Fockers,1970-05-26
454,nm0000750,2018-06-29,2018-07-02,1248 points,Jon Amiel,Copycat,1948-05-20
455,nm0001403,2018-06-24,2018-07-06,1243 points,Neil Jordan,The Crying Game,1950-02-25
456,nm0048918,2019-04-20,2019-04-20,1242 points,Sean Baker,Tangerine,
457,nm0332950,2018-07-01,2018-07-01,1229 points,Ashutosh Gowariker,Lagaan: Once Upon a Time in India,1953-02-15
458,nm0149446,2018-07-01,2018-07-01,1228 points,Gurinder Chadha,Bend It Like Beckham,1960-01-10
459,nm0000600,2019-11-06,2019-11-06,1222 points,Sam Raimi,Spider-Man,1959-10-23
460,nm1148550,2018-07-12,2018-07-12,1221 points,Ava DuVernay,Queen Sugar,1972-08-24
461,nm0004675,2018-12-30,2018-12-30,1220 points,Phil Alden Robinson,Field of Dreams,1950-03-01
462,nm0562266,2018-07-03,2018-07-03,1219 points,John Maybury,Love Is the Devil: Study for a Portrait of Francis Bacon,
463,nm0611683,2018-06-17,2018-06-17,1214 points,Russell Mulcahy,Highlander,1953-06-23
464,nm0000915,2018-06-22,2018-06-22,1207 points,Bruce Beresford,'Breaker' Morant,1940-08-16
465,nm0000671,2019-01-15,2019-01-15,1207 points,Billy Bob Thornton,Sling Blade,1955-08-04
466,nm0381416,2018-07-07,2018-07-07,1207 points,Grant Heslov,Argo,1963-05-15
467,nm0264236,2018-07-04,2018-07-04,1202 points,Richard Eyre,Notes on a Scandal,1943-03-28
468,nm3363032,2021-06-24,2021-06-24,1200 points,Ryan Coogler,Black Panther,1986-05-23
469,nm0911910,2018-06-28,2018-06-28,1193 points,Vincent Ward,The Navigator: A Mediaeval Odyssey,1956-02-16
470,nm2277869,2018-07-06,2018-07-06,1189 points,Marjane Satrapi,Persepolis,1969-11-22
471,nm1749112,2018-07-06,2018-07-06,1189 points,Vincent Paronnaud,Persepolis,
472,nm0499724,2021-03-20,2021-03-20,1181 points,Michael Lehmann,Heathers,1957-03-30
473,nm0149491,2018-07-07,2018-07-07,1178 points,Justin Chadwick,Mandela: Long Walk to Freedom,1968-12-01
474,nm1547964,2018-07-08,2018-07-08,1173 points,Richard Ayoade,Submarine,1977-05-23
475,nm0000454,2018-06-03,2019-03-20,1171 points,Dennis Hopper,Easy Rider,1936-05-17
476,nm0528718,2020-12-30,2020-12-30,1171 points,Jonathan Lynn,Clue,1943-04-03
477,nm0015359,2018-07-03,2018-07-08,1167 points,Fatih Akin,Aus dem Nichts,1973-08-25
478,nm0671210,2019-04-17,2019-04-17,1161 points,Mark Pellington,Arlington Road,1962-03-17
479,nm0196860,2018-07-06,2018-07-06,1160 points,Olivier Dahan,La Môme,1967-06-26
480,nm0000243,2018-07-14,2018-07-14,1160 points,Denzel Washington,Fences,1954-12-28
481,nm1022455,2018-07-10,2018-07-10,1158 points,Benh Zeitlin,Beasts of the Southern Wild,1982-10-14
482,nm0000209,2018-06-26,2018-06-26,1156 points,Tim Robbins,Mystic River,1958-10-16
483,nm0000953,2018-06-07,2018-06-16,1153 points,Peter Bogdanovich,The Last Picture Show,1939-07-30
484,nm0404606,2018-06-02,2019-09-24,1140 points,Brian G. Hutton,Where Eagles Dare,1929-05-02
485,nm0712947,2018-05-28,2018-05-28,1138 points,Nicholas Ray,Rebel Without a Cause,1911-08-07
486,nm0748066,2018-07-10,2018-07-10,1131 points,Henry Alex Rubin,Murderball,
487,nm1950086,2020-03-09,2020-03-09,1123 points,Greta Gerwig,Lady Bird,1983-08-04
488,nm0001345,2018-06-17,2018-06-17,1115 points,Jim Henson,The Muppet Show,1936-09-24
489,nm1128037,2018-07-12,2018-07-14,1105 points,Ruben Östlund,Turist,1974-04-13
490,nm1314116,2018-07-07,2018-07-07,1103 points,Saul Dibb,Suite Française,
491,nm0081540,2018-07-04,2018-07-09,1097 points,Susanne Bier,Hævnen,1960-04-15
492,nm1168657,2018-07-02,2018-07-12,1091 points,Andrey Zvyagintsev,Leviafan,1964-02-06
493,nm0138927,2018-07-01,2018-07-03,1083 points,Niki Caro,Whale Rider,
494,nm0590122,2018-07-08,2018-07-08,1076 points,Mike Mills,Beginners,
495,nm0959034,2021-10-10,2021-10-10,1075 points,Joel Zwick,My Big Fat Greek Wedding,1942-01-11
496,nm0149196,2018-07-09,2018-07-12,1069 points,Nuri Bilge Ceylan,Bir Zamanlar Anadolu'da,1959-01-26
497,nm0001460,2018-06-30,2018-06-30,1063 points,Mimi Leder,The Morning Show,1952-01-26
498,nm0462895,2021-01-18,2021-01-18,1053 points,David Koepp,Jurassic Park,1963-06-09
499,nm0914132,2018-07-03,2018-07-03,1052 points,Mark Waters,(500) Days of Summer,1964-06-30
500,nm0001281,2018-07-09,2018-07-09,1046 points,Bobcat Goldthwait,Scrooged,1962-05-26
501,nm2905562,2018-07-07,2018-07-07,1041 points,Daniel Barber,Harry Brown,
502,nm0001887,2021-01-16,2021-01-16,1034 points,Paul Brickman,Risky Business,1949-04-23
503,nm0281396,2018-07-04,2018-07-04,1029 points,Ryan Fleck,Half Nelson,1976-09-20
504,nm0006889,2018-06-16,2018-06-22,1024 points,Herbert Ross,"Play It Again, Sam",1927-05-13
505,nm0001361,2018-06-14,2018-06-14,1019 points,Tobe Hooper,The Texas Chain Saw Massacre,1943-01-25
506,nm0070594,2018-07-10,2018-07-10,1017 points,Malik Bendjelloul,Searching for Sugar Man,1977-09-14
507,nm1503403,2018-07-03,2018-07-03,1015 points,Shane Carruth,Upstream Color,
508,nm1166926,2018-07-02,2018-07-02,1000 points,Vadim Perelman,House of Sand and Fog,
509,nm0122427,2021-06-15,2021-06-15,979 points,Rob Burnett,The Fundamentals of Caring,1962-07-08
510,nm0442109,2018-07-07,2018-07-07,977 points,Charlie Kaufman,I'm Thinking of Ending Things,1958-11-19
511,nm0000419,2018-05-30,2019-08-26,975 points,Jean-Luc Godard,Vivre sa vie: Film en douze tableaux,1930-12-03
512,nm0587518,2018-06-14,2018-06-14,974 points,John Milius,Conan the Barbarian,1944-04-11
513,nm0787601,2018-07-01,2018-07-01,968 points,Steven Shainberg,Secretary,1963-02-05
514,nm0001005,2018-06-24,2018-06-24,957 points,Jane Campion,The Power of the Dog,1954-04-30
515,nm0744035,2018-05-30,2018-05-30,954 points,Robert Rossen,The Hustler,1908-03-16
516,nm0001754,2018-06-28,2018-06-28,953 points,Todd Solondz,Welcome to the Dollhouse,1959-10-15
517,nm0429964,2018-07-08,2018-07-08,948 points,Gregor Jordan,Two Hands,
518,nm0466153,2020-05-23,2020-05-23,945 points,Hirokazu Koreeda,Manbiki kazoku,1962-06-06
519,nm0413875,2018-06-24,2018-06-24,942 points,Mick Jackson,Volcano,1943-10-04
520,nm1033517,2020-01-13,2020-01-13,927 points,Ariel Vromen,The Iceman,1973-02-14
521,nm0001915,2018-06-24,2018-06-24,921 points,Emile Ardolino,Dirty Dancing,1943-05-09
522,nm0916424,2018-07-02,2018-07-02,917 points,Peter Webber,Girl with a Pearl Earring,
523,nm0420422,2018-07-07,2018-07-07,904 points,Christine Jeffs,Sunshine Cleaning,1963-01-29
524,nm0600409,2018-07-07,2018-07-07,894 points,Daniel Monzón,Celda 211,
525,nm0002645,2020-12-08,2020-12-08,884 points,Paolo Genovese,Perfetti sconosciuti,1966-08-20
526,nm0003433,2018-05-17,2021-04-12,881 points,Carl Theodor Dreyer,La passion de Jeanne d'Arc,1889-02-03
527,nm0587277,2018-05-18,2018-05-18,877 points,Lewis Milestone,All Quiet on the Western Front,1895-09-30
528,nm0284369,2018-07-07,2018-07-07,860 points,Ari Folman,The Congress,1962-12-17
529,nm0614682,2018-07-08,2018-07-08,855 points,Ryan Murphy,Glee,1965-11-09
530,nm0612816,2018-07-06,2018-07-06,847 points,Cristian Mungiu,"4 luni, 3 saptamâni si 2 zile",1968-04-27
531,nm0774325,2018-05-19,2018-05-19,841 points,Ernest B. Schoedsack,Dr. Cyclops,1893-06-08
532,nm0178260,2018-05-19,2018-05-19,841 points,Merian C. Cooper,King Kong,1893-10-24
533,nm0174374,2018-07-04,2018-07-04,840 points,Bill Condon,Kinsey,1955-10-22
534,nm0927468,2018-05-17,2018-05-17,837 points,Robert Wiene,Das Cabinet des Dr. Caligari,1873-04-24
535,nm0637615,2018-07-01,2018-07-01,836 points,Gaspar Noé,Enter the Void,1963-12-27
536,nm0000382,2018-07-07,2018-07-07,834 points,Atom Egoyan,The Sweet Hereafter,1960-07-19
537,nm0573796,2018-06-28,2018-06-28,832 points,John McNaughton,Henry: Portrait of a Serial Killer,1950-01-13
538,nm1883257,2018-07-14,2018-07-14,826 points,Pablo Larraín,El club,1976-08-19
539,nm0001178,2018-05-17,2018-05-17,819 points,Sergei M. Eisenstein,Aleksandr Nevskiy,1898-01-22
540,nm0620378,2020-06-25,2020-06-25,814 points,Hideo Nakata,Honogurai mizu no soko kara,1961-07-19
541,nm0036349,2018-07-07,2018-07-07,812 points,Andrea Arnold,American Honey,1961-04-05
542,nm0154819,2018-06-24,2018-06-24,810 points,Jeremiah S. Chechik,Benny & Joon,
543,nm0867127,2018-07-10,2018-07-10,809 points,Mark Tonderai,Spell,
544,nm0001302,2021-01-06,2021-01-06,802 points,Christopher Guest,This Is Spinal Tap,1948-02-05
545,nm0056725,2018-07-03,2018-07-03,793 points,Christophe Barratier,Les choristes,1963-06-17
546,nm0081433,2020-12-15,2020-12-15,785 points,Fabián Bielinsky,Nueve reinas,1959-02-03
547,nm0000630,2018-07-03,2018-07-03,781 points,Liev Schreiber,Spotlight,1967-10-04
548,nm0690597,2018-06-01,2018-06-01,773 points,Gillo Pontecorvo,La battaglia di Algeri,1919-11-19
549,nm0322242,2018-07-11,2018-07-11,763 points,Jonathan Glazer,Under the Skin,1965-03-26
550,nm0392237,2018-07-11,2018-07-11,762 points,Nicole Holofcener,Enough Said,1960-03-22
551,nm0476201,2018-07-03,2018-07-03,759 points,Karyn Kusama,The Invitation,1968-03-21
552,nm1706767,2021-01-25,2021-01-25,752 points,Jonah Hill,21 Jump Street,1983-12-20
553,nm0006498,2018-06-28,2018-06-28,742 points,Majid Majidi,Bacheha-Ye aseman,
554,nm0520749,2018-07-10,2018-07-10,741 points,Robert Lorenz,Mystic River,
